"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.369574147E0,-5.222777277E-2,-1.197896004E-1,-6.780986786E-1
3.389460500E0,9.675133228E-2,-1.381225586E-1,-9.959144592E-1
3.409348480E0,1.203368753E-1,-1.139636040E-1,-7.018003464E-1
3.429219534E0,-1.338519901E-2,-3.418397903E-2,4.615335464E-1
3.449113618E0,1.993380785E-1,7.939338684E-4,9.257402420E-1
3.469004487E0,5.717777014E-1,-4.169936180E-1,4.645133018E-1
3.488889945E0,2.456981093E-1,-1.079592705E-1,-3.405056000E-1
3.508775485E0,4.821143746E-1,-4.420003891E-1,-1.239595890E0
3.528668999E0,3.146240115E-1,-4.182062149E-1,-1.597076416E0
3.548554416E0,3.472802043E-2,-2.179112434E-1,-1.378389359E0
3.568442478E0,1.218029499E0,-1.508302212E0,-5.136637688E-1
3.588330744E0,1.066911936E0,-1.725205421E0,2.244720459E-1
3.608230199E0,1.151944399E0,-1.333945751E0,1.261730194E-1
3.628118017E0,9.144319296E-1,-1.112399578E0,-9.138908386E-1
3.647996517E0,4.027240872E-1,-8.049578667E-1,-1.409682751E0
3.667883439E0,-6.094756126E-1,1.426612377E0,-1.020543098E0
3.687771501E0,-1.372774124E0,1.638582706E0,-1.131563187E-1
3.707658180E0,-1.648679972E-1,1.920342445E-1,6.667995453E-2
3.727546567E0,5.574706793E-1,4.475808144E-1,5.738182068E-1
3.747434792E0,-1.403392076E0,1.104783058E0,1.696281433E-1
3.767322936E0,-2.480458736E0,3.771562576E-1,3.118591309E-1
3.787210916E0,-1.583731413E0,-2.967853546E-1,-5.257701874E-1
3.807092712E0,2.532376647E-1,-6.206271648E-1,-3.204793930E-1
3.826989685E0,1.218000054E-1,6.241884232E-1,1.508579254E-1
3.846889384E0,-6.656886339E-1,-4.322469234E-1,-2.436703205E0
3.866777731E0,-2.683837652E0,-1.483832836E0,-3.220778942E0
3.886665753E0,-3.930603266E-1,-2.594777107E0,-6.583018303E0
3.906542665E0,7.662127614E-1,-2.314901829E0,6.819440842E0
3.926442690E0,2.358610630E-1,-1.571522474E0,4.375151634E0
3.946317569E0,-1.952677965E0,2.431204319E-1,2.657306671E0
3.966206078E0,-9.202151895E-1,6.512792110E-1,2.438850403E0
3.986100569E0,7.283236980E-1,6.395285130E-1,9.376220703E-1
4.005982243E0,-2.885288000E-2,6.797544956E-1,-6.532764435E-2
4.025870631E0,1.324030757E-1,-2.568581104E-1,-2.530269623E-1
4.045758489E0,2.548646927E-2,-9.383320808E-1,-6.258506775E-1
4.065646836E0,-5.888685584E-2,-1.127881527E0,-6.333827972E-1
